"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Comparison"
"ASV283",82.5495802164891,27.2186232553579,1.76306154651142,15.4382717433861,9.04927184335279e-54,3.80069417420817e-52,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Clinician Taken Swab vs Stool"
"ASV5",3585.31719728206,11.7990990655934,0.786481370564894,15.0023884953799,7.08240797014822e-51,2.47884278955188e-49,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Clinician Taken Swab vs Stool"
"ASV10",1362.82317452788,11.3625144469533,0.814299287172249,13.9537325231009,2.98562301409162e-44,8.95686904227485e-43,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Finegoldia","Clinician Taken Swab vs Stool"
"ASV269",398.842822053166,12.1738241841373,0.896908597369731,13.5730934231628,5.78289450139526e-42,1.51800980661626e-40,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","S5-A14a","Clinician Taken Swab vs Stool"
"ASV422",51.2845399586583,25.1866788458178,1.90659230957831,13.210311779443,7.65068814566748e-40,1.78516056732241e-38,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Clinician Taken Swab vs Stool"
"ASV320",40.3898199115179,26.5988202517175,2.06803507127666,12.8618806427191,7.37599798369514e-38,1.54895957657598e-36,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Clinician Taken Swab vs Stool"
"ASV272",453.917729056483,11.7684155004971,0.943959256653589,12.4670799269632,1.1288742365515e-35,2.15512354250741e-34,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","Clinician Taken Swab vs Stool"
"ASV115",279.859595788466,12.0237243013501,0.983525159674993,12.225131388935,2.28212415346586e-34,3.99371726856526e-33,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","Clinician Taken Swab vs Stool"
"ASV81",599.165044269905,11.2374699394672,0.929528159611196,12.0894346484001,1.20110377235982e-33,1.94024455535048e-32,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Clinician Taken Swab vs Stool"
"ASV132",713.456216013861,12.1351193555761,1.04538348374326,11.6082945103775,3.74000818536699e-31,5.61001227805049e-30,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Murdochiella","Clinician Taken Swab vs Stool"
"ASV877",38.5837768927979,25.1131013263457,2.19466358379234,11.4428022188944,2.55497543113004e-30,3.57696560358205e-29,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Helcococcus","Clinician Taken Swab vs Stool"
"ASV481",31.6173351351753,25.2150255712141,2.41359942877196,10.4470631168667,1.51132946760472e-25,1.98361992623119e-24,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","Clinician Taken Swab vs Stool"
"ASV350",110.423147784436,10.3684323822144,1.01102582490953,10.2553585939728,1.11959661155214e-24,1.38303110838794e-23,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Clinician Taken Swab vs Stool"
"ASV4731",55.3987346429745,7.44934983442718,0.821310501394496,9.07007742112027,1.18932478616726e-19,1.3875455838618e-18,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Clinician Taken Swab vs Stool"
"ASV10681",8.19181024549605,8.04050585060715,0.927892785279629,8.66533933463451,4.50170135794553e-18,4.97556465878191e-17,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Clinician Taken Swab vs Stool"
"ASV152",261.958199073755,4.85827089747566,0.574871201537185,8.45105979301941,2.8867036115294e-17,3.03103879210587e-16,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Clinician Taken Swab vs Stool"
"ASV504",75.8741017915404,4.35376374408525,0.605842579831604,7.1862953992032,6.65729287025557e-13,6.65729287025557e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Clinician Taken Swab vs Stool"
"ASV912",16.9047442586285,25.3384100222066,3.56497548259876,7.10759727405914,1.18080511474615e-12,1.12713215498496e-11,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Blvii28_wastewater-sludge_group","Clinician Taken Swab vs Stool"
"ASV723",10.1699410050913,24.8755423698567,3.56514870649612,6.97742069623367,3.00648421125996e-12,2.74505080158518e-11,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Dethiosulfovibrio","Clinician Taken Swab vs Stool"
"ASV407",78.130092975231,4.56644833638927,0.655105873391627,6.97055013832765,3.15703981366777e-12,2.7624098369593e-11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Clinician Taken Swab vs Stool"
"ASV388",154.491893795699,9.56779693837188,1.38398349807923,6.91323050574709,4.73739217045298e-12,3.9794094231805e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","W5053","Clinician Taken Swab vs Stool"
"ASV710",136.446641412898,7.73678910158123,1.12467855668903,6.87911141860636,6.02270427412123e-12,4.8644919137133e-11,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Clinician Taken Swab vs Stool"
"ASV92",13.3817177734523,-24.4576391802439,3.56335104062019,-6.86366257532325,6.71170602267608e-12,5.22021579541473e-11,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352","Clinician Taken Swab vs Stool"
"ASV6581",26.2183382844453,8.28198553483129,1.22086540958343,6.7837007010111,1.171358738222e-11,8.78519053666499e-11,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Clinician Taken Swab vs Stool"
"ASV519",106.87164126916,4.01862658011578,0.595974722705357,6.74294802617417,1.55204740689978e-11,1.12389639809984e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Clinician Taken Swab vs Stool"
"ASV11291",8.01074363456221,8.00746563740409,1.20909848863776,6.62267442450101,3.52757421186365e-11,2.46930194830456e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13","Clinician Taken Swab vs Stool"
"ASV9301",10.2463619820128,8.35459624740291,1.27996229246821,6.52722060373539,6.70013298359506e-11,4.53879976308052e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_5","Clinician Taken Swab vs Stool"
"ASV1102",35.1454012602253,8.02809910273113,1.32357766659846,6.06545373598138,1.31581643796775e-09,8.63504537416336e-09,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Clinician Taken Swab vs Stool"
"ASV2",5072.68147438989,6.20492041648133,1.03597534676619,5.98944794955796,2.10554502015849e-09,1.3398922855554e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Fenollaria","Clinician Taken Swab vs Stool"
"ASV112",2259.5978189096,6.27210888079919,1.06844872654878,5.87029468513557,4.3502120875252e-09,2.6868957011185e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Anaerococcus","Clinician Taken Swab vs Stool"
"ASV102",40.4022581976312,6.64913040441466,1.15836404080522,5.74010429380439,9.46182618699648e-09,5.67709571219789e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus","Clinician Taken Swab vs Stool"
"ASV1032",37.7625699175117,9.86455616107992,1.73343809442817,5.69074614939396,1.26485430965753e-08,7.29084768932928e-08,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Moryella","Clinician Taken Swab vs Stool"
"ASV1521",20.9002770245516,6.58062970787369,1.15691098902707,5.68810372646545,1.28457792621516e-08,7.29084768932928e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium","Clinician Taken Swab vs Stool"
"ASV47",7278.40228775945,6.18860895179732,1.12348687437372,5.50839452863847,3.62121100754615e-08,2.00119555680182e-07,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Clinician Taken Swab vs Stool"
"ASV23",7731.64870062258,6.06021750529924,1.13671198170647,5.33135710965363,9.74815082928467e-08,5.24900429269174e-07,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Peptoniphilus","Clinician Taken Swab vs Stool"
"ASV31",472.143569627205,3.86545352608464,0.770919016119432,5.01408506634347,5.32864097325041e-07,2.72930391312826e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Clinician Taken Swab vs Stool"
"ASV1560",37.7585526963581,6.55239038458618,1.30601222363631,5.01709728745297,5.24580075089417e-07,2.72930391312826e-06,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Clinician Taken Swab vs Stool"
"ASV130",173.150435456387,4.76579206616948,0.981217972446387,4.85701668742098,1.19167554728163e-06,5.95837773640816e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Clinician Taken Swab vs Stool"
"ASV7",5603.62324518096,5.79655075262708,1.20635920026931,4.80499568564077,1.54754842119032e-06,7.55779461511553e-06,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Ezakiella","Clinician Taken Swab vs Stool"
"ASV954",38.3470631817599,3.59989527437134,0.75589856340656,4.76240523351165,1.91299041488388e-06,9.13018152558215e-06,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Clinician Taken Swab vs Stool"
"ASV11641",14.7532095096043,6.77324288065276,1.46659728235779,4.61833862787725,3.8682463081485e-06,1.8051816104693e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium","Clinician Taken Swab vs Stool"
"ASV823",20.961706987129,5.16658922127722,1.14465748039321,4.51365522855133,6.37197724159239e-06,2.90894613203131e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Clinician Taken Swab vs Stool"
"ASV972",21.3957244291871,5.36036573151902,1.20825678377204,4.43644579820572,9.14563494185615e-06,4.08634752721232e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Clinician Taken Swab vs Stool"
"ASV1845",6.86083143516562,6.05348275443475,1.40143488844076,4.31948912101786,1.56390817680037e-05,6.8420982735016e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Clinician Taken Swab vs Stool"
"ASV1969",3.45439479611715,6.8522877786692,1.74868022310576,3.91854822175498,8.90839087729692e-05,0.000381788180455582,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Clinician Taken Swab vs Stool"
"ASV1446",38.6267812838594,6.70070350679819,1.71799976335855,3.90029361453394,9.60760985354492e-05,0.000403519613848887,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Clinician Taken Swab vs Stool"
"ASV681",9.63209264028808,4.84683699660317,1.25814931147334,3.85235436875719,0.000116987554415366,0.000473439901905298,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Budviciaceae","Budvicia","Clinician Taken Swab vs Stool"
"ASV1747",4.60476193729521,4.55562418437754,1.18271320124398,3.85184183247969,0.000117232737614645,0.000473439901905298,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Clinician Taken Swab vs Stool"
"ASV861",9.57410451242857,4.09535946441656,1.10581121746047,3.70348880509792,0.00021265456991178,0.000842593578895731,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Vagococcaceae","Vagococcus","Clinician Taken Swab vs Stool"
"ASV170",223.212379031514,1.75980264718806,0.48560353756894,3.62394939707007,0.000290138394625712,0.00112831597909999,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Clinician Taken Swab vs Stool"
"ASV1450",3.04121944881842,5.63398628928594,1.61607564079303,3.48621447355103,0.000489908056346581,0.00187055803332331,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter","Clinician Taken Swab vs Stool"
"ASV2477",3.23585933064563,5.59292431350545,1.61974977007306,3.4529557693675,0.000554479911317622,0.00207929966744108,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Clinician Taken Swab vs Stool"
"ASV902",65.6161039755285,3.17083608514253,0.977236218565794,3.2446976738092,0.00117575380103867,0.00433172453014247,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus","Clinician Taken Swab vs Stool"
"ASV2403",2.86682076849506,5.29203922590511,1.66416355523961,3.17999947135193,0.00147275320985826,0.00533238231155575,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Clinician Taken Swab vs Stool"
"ASV208",1303.3859447634,2.88017116052362,0.926063545251732,3.11012259935219,0.00187009705674842,0.00665627765961301,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","Clinician Taken Swab vs Stool"
"ASV532",21.2182750527732,7.83648140345004,2.54866838748043,3.0747355921015,0.00210689246731343,0.00737412363559699,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Parvimonas","Clinician Taken Swab vs Stool"
"ASV1304",9.0670415320671,3.99000693926472,1.33766073587136,2.98282429338528,0.00285601903441235,0.00983219667584581,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Clinician Taken Swab vs Stool"
"ASV3241",371.683531168476,29.0125810186857,1.19393311376464,24.3000053220777,1.96006658266608e-130,5.2529784415451e-128,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Negativicoccus","Self Taken Swab vs Stool"
"ASV2621",569.526082586077,30.4272989280171,1.3230276396504,22.9982337602994,4.85489398684028e-117,6.50555794236598e-115,"Bacteria","Firmicutes","Clostridia","Clostridia_or","Hungateiclostridiaceae","Fastidiosipila","Self Taken Swab vs Stool"
"ASV3651",102.45995262584,27.7046915808506,1.50150819218841,18.451242374157,5.09599733058267e-76,4.55242428198718e-74,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Gallicola","Self Taken Swab vs Stool"
"ASV6621",112.989585409123,27.8590071601386,1.68015107311867,16.581251296901,9.52252285639529e-62,6.38009031378484e-60,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Self Taken Swab vs Stool"
"ASV51",3585.31719728206,11.9835459765126,0.786439719412609,15.2377171202175,1.98692215059639e-52,1.06499027271966e-50,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Self Taken Swab vs Stool"
"ASV2831",82.5495802164891,26.7991501217979,1.76281047473653,15.2025135463319,3.40308594637009e-52,1.52004505604531e-50,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Self Taken Swab vs Stool"
"ASV811",599.165044269905,13.6314903019318,0.928481723491612,14.6814847907504,8.47149033692555e-49,3.24337058613721e-47,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Self Taken Swab vs Stool"
"ASV2691",398.842822053166,12.9145484491612,0.896398266118244,14.407154651343,4.66538080385525e-47,1.56290256929151e-45,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","S5-A14a","Self Taken Swab vs Stool"
"ASV101",1362.82317452788,11.5445116663085,0.814195007804266,14.1790499274147,1.23507324765732e-45,3.67777367080181e-44,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Finegoldia","Self Taken Swab vs Stool"
"ASV2721",453.917729056483,13.364155486802,0.943157746756989,14.1695867236993,1.41329786372617e-45,3.78763827478613e-44,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","Self Taken Swab vs Stool"
"ASV4221",51.2845399586583,26.3650412895722,1.90451980483863,13.8434062080054,1.39439294384255e-43,3.39724826318002e-42,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Self Taken Swab vs Stool"
"ASV1321",713.456216013861,13.0466537144175,1.04508700351673,12.4837967274642,9.15164164858293e-36,2.04386663485019e-34,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Murdochiella","Self Taken Swab vs Stool"
"ASV1151",279.859595788466,12.1380218187068,0.983166769597001,12.3458422254061,5.12946254267933e-35,1.05745843187543e-33,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","Self Taken Swab vs Stool"
"ASV3201",40.3898199115179,25.0706634404957,2.0693235349515,12.1153908594014,8.75457899467144e-34,1.56415144704796e-32,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Self Taken Swab vs Stool"
"ASV8771",38.5837768927979,26.5754881224614,2.19274721669259,12.1197226566527,8.30396663293642e-34,1.56415144704796e-32,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Helcococcus","Self Taken Swab vs Stool"
"ASV3501",110.423147784436,11.037544489388,1.00969508492964,10.9315620667374,8.14343768744514e-28,1.36402581264706e-26,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Self Taken Swab vs Stool"
"ASV4811",31.6173351351753,26.1359952017891,2.41223880356331,10.8347461964303,2.35617869216433e-27,3.71444640882377e-26,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","Self Taken Swab vs Stool"
"ASV3881",154.491893795699,11.9606933332095,1.38136705949723,8.65859168348984,4.77628391925157e-18,7.11135605755233e-17,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","W5053","Self Taken Swab vs Stool"
"ASV1121",2259.5978189096,7.66704715207227,1.06831513351105,7.17676546139929,7.13799834309475e-13,1.00683345049968e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Anaerococcus","Self Taken Swab vs Stool"
"ASV231",7731.64870062258,8.1394966801298,1.13665396675277,7.16092752782362,8.01330069239408e-13,1.07378229278081e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Peptoniphilus","Self Taken Swab vs Stool"
"ASV11021",35.1454012602253,9.26025653339641,1.32111381828326,7.00943128838798,2.3928877102157e-12,3.05378050637051e-11,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Self Taken Swab vs Stool"
"ASV921",13.3817177734523,-24.8514648902869,3.56339702321242,-6.97409374492971,3.07848763747383e-12,3.75015766746812e-11,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352","Self Taken Swab vs Stool"
"ASV471",7278.40228775945,7.76864296008187,1.12344269345974,6.91503269842602,4.67755468746519e-12,5.45036807061162e-11,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Self Taken Swab vs Stool"
"ASV9121",16.9047442586285,24.036392113148,3.56640948192127,6.73966134146752,1.58756221089495e-11,1.77277780216603e-10,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Blvii28_wastewater-sludge_group","Self Taken Swab vs Stool"
"ASV21",5072.68147438989,6.61932178234352,1.03594753394332,6.38963032919937,1.66287259290941e-10,1.78259941959889e-09,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Fenollaria","Self Taken Swab vs Stool"
"ASV7231",10.1699410050913,22.4386895380313,3.56982329491854,6.28565833215655,3.26467239644372e-10,3.36512385479583e-09,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Dethiosulfovibrio","Self Taken Swab vs Stool"
"ASV71",5603.62324518096,7.46616584947385,1.20630227405993,6.18929932407883,6.04322330275709e-10,5.99845868569963e-09,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Ezakiella","Self Taken Swab vs Stool"
"ASV15211",20.9002770245516,6.64388159691483,1.15688204005399,5.74292051124311,9.30574171246878e-09,8.90692421050584e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium","Self Taken Swab vs Stool"
"ASV7101",136.446641412898,6.39565207983277,1.12520380533321,5.68399435686124,1.31584620793429e-08,1.21602339215996e-07,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Self Taken Swab vs Stool"
"ASV1021",40.4022581976312,6.52812637917591,1.15734200963058,5.6406199073856,1.69439023925614e-08,1.51365528040215e-07,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus","Self Taken Swab vs Stool"
"ASV15601",37.7585526963581,7.17666398357617,1.3041463383921,5.50295911762814,3.73469048151439e-08,3.22870015821244e-07,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Self Taken Swab vs Stool"
"ASV1522",261.958199073755,2.98842537245999,0.575976658885786,5.18844874415751,2.12053109404313e-07,1.77594479126112e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Self Taken Swab vs Stool"
"ASV5191",106.87164126916,2.96557729190757,0.596820192851432,4.96896272517006,6.73120066692388e-07,5.46655084465333e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Self Taken Swab vs Stool"
"ASV4071",78.130092975231,3.12681335788506,0.657102039090256,4.75848981113202,1.95046736000029e-06,1.5374272131767e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Self Taken Swab vs Stool"
"ASV1301",173.150435456387,4.34759872400991,0.981010516313134,4.43175547225446,9.34689827551367e-06,7.15705353667904e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Self Taken Swab vs Stool"
"ASV10321",37.7625699175117,7.43164539427086,1.73725700981711,4.27780423522552,1.88745897055032e-05,0.000140510834474301,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Moryella","Self Taken Swab vs Stool"
"ASV311",472.143569627205,3.24112095028664,0.770879927948023,4.20444330275152,2.6172553258197e-05,0.000189574169545859,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Self Taken Swab vs Stool"
"ASV5041",75.8741017915404,2.55119522533972,0.609293745929632,4.187135092692,2.8249769477029e-05,0.000199235216311678,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Self Taken Swab vs Stool"
"ASV9541",38.3470631817599,3.04929577625957,0.756284401710408,4.03194323374025,5.53175504068679e-05,0.000380130859206169,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Self Taken Swab vs Stool"
"ASV95",8.19588722475607,7.19270074035417,1.82701718660736,3.93685444947044,8.25566453118826e-05,0.000553129523589614,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","Self Taken Swab vs Stool"
